factor,bucket,confidence,rationale,total_refs
water service sustainability,Sustainability,high,'water service sustainability' over 'water service',218
community awareness,Community / Users,high,matched 'awareness',83
stakeholder coordination,Coordination,high,matched 'stakeholder',71
water supply,Service Performance,high,matched 'water supply',61
population growth,Community / Users,high,matched 'population',49
sustainable water service,Sustainability,high,'sustainable water service' over 'water service',45
inter-sector coordination,Coordination,high,matched 'inter-sector',43
community ownership,Community Management,high,'community ownership' over 'community',39
coordination,Coordination,high,matched 'coordinat',37
water availability,Service Performance,high,matched 'water availab',36
water scheme functionality,Service Performance,high,matched 'functionality',36
waste disposal site,Infrastructure,high,matched 'disposal site',31
water access,Service Performance,high,matched 'water access',31
project sustainability,Sustainability,high,matched 'project sustainability',30
open defecation,Community / Users,high,matched 'open defecation',29
community health,Community / Users,high,matched 'community',27
water scheme sustainability,Sustainability,high,matched 'scheme sustainability',27
budget,Govt / External Finance,high,matched 'budget',24
WASH forum participation,Coordination,high,'wash forum participation' over 'participation',23
spare parts availability,O&M,high,matched 'spare part',23
water service delivery,Service Performance,high,matched 'service deliver',23
sanitation problems,Service Performance,high,matched 'sanitation problem',22
water scheme development,Infrastructure,high,matched 'scheme development',22
sense of ownership,Community Management,high,matched 'sense of ownership',21
sustainable sanitation service,Sustainability,high,'sustainable sanitation service' over 'sanitation service',21
water service,Service Performance,high,matched 'water service',21
sanitation service sustainability,Sustainability,high,'sanitation service sustainability' over 'sanitation service,20
water coverage,Service Performance,high,matched 'water coverage',20
water supply adequacy,Service Performance,high,matched 'water supply',20
improper waste disposal,Community / Users,high,matched 'improper waste disposal',19
budget allocation,Govt / External Finance,high,matched 'budget',18
coordination effectiveness,Coordination,high,matched 'coordinat',18
operational costs,O&M,high,matched 'operational cost',18
community sense of ownership,Community Management,high,'community sense of ownership' over 'community',17
government budget,Govt / External Finance,high,'government budget' over 'government',17
skilled manpower,Govt Management,high,matched 'manpower',17
clean water access,Service Performance,high,matched 'water access',16
community mobilization,Capacity Building,high,'community mobiliz' over 'community',16
