rank,verbatim_factor,total_refs,transcripts,cross_case_factor,confidence,rationale
1,water service sustainability,218,94,Sustainability,high,'water service sustainability' over 'water service'
2,community awareness,83,42,Community / Users,high,matched 'awareness'
3,stakeholder coordination,71,33,Coordination,high,matched 'stakeholder'
4,water supply,61,35,Service Performance,high,matched 'water supply'
5,population growth,49,40,Community / Users,high,matched 'population'
6,sustainable water service,45,24,Sustainability,high,'sustainable water service' over 'water service'
7,inter-sector coordination,43,16,Coordination,high,matched 'inter-sector'
8,community ownership,39,17,Community Management,high,'community ownership' over 'community'
9,coordination,37,18,Coordination,high,matched 'coordinat'
10,water availability,36,24,Service Performance,high,matched 'water availab'
11,water scheme functionality,36,24,Service Performance,high,matched 'functionality'
12,waste disposal site,31,12,Infrastructure,high,matched 'disposal site'
13,water access,31,16,Service Performance,high,matched 'water access'
14,project sustainability,30,19,Sustainability,high,matched 'project sustainability'
15,open defecation,29,19,Community / Users,high,matched 'open defecation'
16,community health,27,22,Community / Users,high,matched 'community'
17,water scheme sustainability,27,17,Sustainability,high,matched 'scheme sustainability'
18,budget,24,16,Govt / External Finance,high,matched 'budget'
19,WASH forum participation,23,13,Coordination,high,'wash forum participation' over 'participation'
20,spare parts availability,23,16,O&M,high,matched 'spare part'
21,water service delivery,23,19,Service Performance,high,matched 'service deliver'
22,sanitation problems,22,13,Service Performance,high,matched 'sanitation problem'
23,water scheme development,22,13,Infrastructure,high,matched 'scheme development'
24,sense of ownership,21,11,Community Management,high,matched 'sense of ownership'
25,sustainable sanitation service,21,10,Sustainability,high,'sustainable sanitation service' over 'sanitation service'
26,water service,21,15,Service Performance,high,matched 'water service'
27,sanitation service sustainability,20,10,Sustainability,high,'sanitation service sustainability' over 'sanitation service
28,water coverage,20,14,Service Performance,high,matched 'water coverage'
29,water supply adequacy,20,16,Service Performance,high,matched 'water supply'
30,improper waste disposal,19,9,Community / Users,high,matched 'improper waste disposal'
31,budget allocation,18,10,Govt / External Finance,high,matched 'budget'
32,coordination effectiveness,18,14,Coordination,high,matched 'coordinat'
33,operational costs,18,9,O&M,high,matched 'operational cost'
34,community sense of ownership,17,10,Community Management,high,'community sense of ownership' over 'community'
35,government budget,17,14,Govt / External Finance,high,'government budget' over 'government'
36,skilled manpower,17,8,Govt Management,high,matched 'manpower'
37,clean water access,16,11,Service Performance,high,matched 'water access'
38,community mobilization,16,13,Capacity Building,high,'community mobiliz' over 'community'
39,water scheme management,16,12,O&M,high,matched 'water scheme management'
40,borehole functionality,15,12,Service Performance,high,'functionality' over 'borehole'
41,water contamination,15,10,Service Performance,high,'water contaminat' over 'contaminat'
42,water quality,15,11,Service Performance,high,matched 'water quality'
43,WASH Forum participation,14,8,Coordination,high,'wash forum participation' over 'participation'
44,inter-organizational coordination,14,5,Coordination,high,matched 'inter-organiz'
45,water and sanitation sustainability,14,2,Sustainability,high,matched 'water and sanitation sustainability'
46,water project sustainability,14,10,Sustainability,high,matched 'project sustainability'
47,water scheme maintenance,14,10,O&M,high,matched 'maintenance'
48,water shortage,14,12,Service Performance,high,matched 'water shortage'
49,awareness creation,13,8,Capacity Building,high,'awareness creation' over 'awareness'
50,community awareness on sanitation,13,8,Community / Users,high,matched 'awareness'
51,community participation,13,10,Community Management,high,'community participation' over 'community'
52,community training,13,7,Community / Users,medium,'community' over 'training'
53,fund misappropriation,13,7,Govt / External Finance,high,matched 'fund misappropriat'
54,maintenance capacity,13,11,O&M,high,matched 'maintenance'
55,proper waste disposal practices,13,7,Community / Users,high,matched 'waste disposal practice'
56,resource mobilization,13,11,Govt / External Finance,high,'resource mobiliz' over 'mobiliz'
57,waste management,13,9,Service Performance,high,matched 'waste management'
58,water service continuity,13,10,Service Performance,high,matched 'service continu'
59,water service coverage,13,10,Service Performance,high,matched 'service coverage'
60,water supply shortage,13,7,Service Performance,high,matched 'water supply'
61,accountability,12,7,Monitoring,high,matched 'accountab'
62,environmental pollution,12,10,Environmental,high,matched 'environmental'
63,liquid waste management,12,9,Service Performance,high,matched 'waste management'
64,maintenance funding,12,6,O&M,high,'maintenance' over 'funding'
65,operation and maintenance costs,12,5,O&M,high,matched 'operation and maintenance'
66,operational cost,12,3,O&M,high,matched 'operational cost'
67,sanitation sustainability,12,3,Sustainability,high,matched 'sanitation sustainability'
68,solid waste management,12,8,Service Performance,high,matched 'waste management'
69,sustainable sanitation,12,6,Sustainability,high,matched 'sustainab'
70,waste disposal place,12,2,Community / Users,low,token-overlap fallback (11)
71,water demand,12,9,Community / Users,high,matched 'water demand'
72,WASH stakeholder coordination,11,6,Coordination,high,matched 'stakeholder'
73,climate change,11,7,Environmental,high,matched 'climate'
74,financial accountability,11,7,Community Finance,high,'financial accountab' over 'accountab'
75,government budget allocation,11,9,Govt / External Finance,high,'government budget' over 'government'
76,revenue collection,11,5,Community Finance,high,matched 'revenue collection'
77,sanitation problem resolution,11,7,Service Performance,high,matched 'sanitation problem'
78,capacity building,10,8,Capacity Building,high,matched 'capacity build'
79,community awareness on waste disposal,10,6,Community / Users,high,matched 'awareness'
80,inter-agency coordination,10,8,Coordination,high,matched 'inter-agency'
81,political interference,10,5,Politics,high,matched 'political interfer'
82,proper waste disposal,10,7,Community / Users,high,matched 'proper waste disposal'
83,scheme management capacity,10,5,O&M,high,matched 'scheme management'
84,scheme management quality,10,7,O&M,high,matched 'scheme management'
85,scheme sustainability,10,7,Sustainability,high,matched 'scheme sustainability'
86,town image,10,5,Community / Users,high,matched 'town image'
87,waste disposal site availability,10,5,Infrastructure,high,matched 'disposal site'
88,water facility sustainability,10,5,Sustainability,medium,'sustainab' over 'facility'
89,water service improvement,10,9,Service Performance,high,matched 'service improv'
90,water service provision,10,10,Service Performance,high,matched 'service provis'
91,financial resources,9,5,Govt / External Finance,high,matched 'financial resource'
92,land ownership disputes,9,5,Laws + Regulations,high,'land ownership' over 'ownership'
93,scheme financial sustainability,9,7,Sustainability,high,matched 'sustainab'
94,water supply capacity,9,9,Service Performance,high,matched 'water supply'
